佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,甘雨
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,重云
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,甘雨
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,重云
时之沙,攻击力,暴击伤害/暴击率/攻击力,甘雨
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华
时之沙,攻击力,暴击伤害/暴击率/攻击力,重云
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,凯亚/神里绫华
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,甘雨
空之杯,冰元素伤害加成,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,重云
理之冠,暴击伤害,暴击率/攻击力,甘雨
理之冠,暴击伤害,暴击率/元素充能效率/攻击力,凯亚/神里绫华
理之冠,暴击伤害,暴击率/攻击力,重云
理之冠,暴击率,暴击伤害/元素充能效率/攻击力,凯亚/神里绫华
理之冠,暴击率,暴击伤害/攻击力,重云
