佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,元素充能效率/生命值,迪奥娜
生之花,生命值（数值）,攻击力/元素充能效率,七七
生之花,生命值（数值）,暴击伤害/暴击率/防御力,辛焱/阿贝多
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,菲谢尔
生之花,生命值（数值）,暴击率/暴击伤害/生命值,钟离
生之花,生命值（数值）,元素充能效率/生命值,珊瑚宫心海
生之花,生命值（数值）,元素充能效率/暴击率/生命值,托马
死之羽,攻击力（数值）,生命值/元素充能效率,迪奥娜
死之羽,攻击力（数值）,元素充能效率/攻击力,七七
死之羽,攻击力（数值）,暴击伤害/暴击率/防御力,辛焱/阿贝多
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,菲谢尔
死之羽,攻击力（数值）,生命值/暴击率/暴击伤害,钟离
死之羽,攻击力（数值）,生命值/元素充能效率,珊瑚宫心海
死之羽,攻击力（数值）,元素充能效率/生命值/暴击率,托马
时之沙,生命值,元素充能效率,迪奥娜
时之沙,生命值,暴击率/暴击伤害,钟离
时之沙,生命值,元素充能效率,珊瑚宫心海
时之沙,防御力,暴击伤害/暴击率,辛焱/阿贝多
时之沙,攻击力,元素充能效率,七七
时之沙,攻击力,暴击伤害/暴击率/防御力,辛焱
时之沙,攻击力,暴击伤害/暴击率/元素精通,菲谢尔
时之沙,元素充能效率,生命值/暴击率,托马
时之沙,元素精通,暴击伤害/暴击率,菲谢尔
空之杯,生命值,元素充能效率,迪奥娜
空之杯,生命值,暴击率/暴击伤害,钟离
空之杯,生命值,元素充能效率,珊瑚宫心海
空之杯,生命值,元素充能效率/暴击率,托马
空之杯,攻击力,元素充能效率,七七
空之杯,物理伤害加成,暴击伤害/暴击率/防御力,辛焱
空之杯,物理伤害加成,暴击伤害/暴击率/元素精通,菲谢尔
空之杯,岩元素伤害加成,暴击伤害/暴击率/防御力,阿贝多
空之杯,岩元素伤害加成,生命值/暴击率/暴击伤害,钟离
空之杯,雷元素伤害加成,暴击伤害/暴击率/元素精通,菲谢尔
空之杯,水元素伤害加成,生命值/元素充能效率,珊瑚宫心海
空之杯,元素精通,暴击伤害/暴击率,菲谢尔
空之杯,防御力,暴击伤害/暴击率,辛焱
理之冠,生命值,元素充能效率,迪奥娜
理之冠,生命值,暴击率/暴击伤害,钟离
理之冠,生命值,元素充能效率/暴击率,托马
理之冠,生命值,元素充能效率,珊瑚宫心海
理之冠,加成,生命值/元素充能效率,迪奥娜
理之冠,加成,攻击力/元素充能效率,七七
理之冠,加成,生命值/元素充能效率,珊瑚宫心海
理之冠,攻击力,元素充能效率,七七
理之冠,暴击伤害,暴击率/防御力,辛焱/阿贝多
理之冠,暴击伤害,暴击率/元素精通,菲谢尔
理之冠,暴击伤害,生命值/暴击率,钟离
理之冠,暴击率,暴击伤害/元素精通,菲谢尔
理之冠,暴击率,元素充能效率/生命值,托马
理之冠,防御力,暴击伤害/暴击率,辛焱
理之冠,元素精通,暴击伤害/暴击率,菲谢尔
