佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击率/元素充能效率/元素精通,旅行者雷
生之花,生命值（数值）,暴击伤害/暴击率/防御力,辛焱/诺艾尔/阿贝多
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,埃洛伊
生之花,生命值（数值）,暴击伤害/暴击率/攻击力/元素充能效率,九条裟罗/雷电将军
生之花,生命值（数值）,暴击伤害/暴击率/攻击力/元素充能效率/元素精通,早柚
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,凝光/旅行者岩/行秋/达达利亚/丽莎/雷泽/刻晴/北斗/甘雨/罗莎莉亚/优菈/重云/琴/魈
生之花,生命值（数值）,暴击伤害/暴击率/生命值,钟离/胡桃
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,莫娜/香菱/迪卢克/安柏/神里绫华/凯亚
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,菲谢尔/烟绯/宵宫/可莉/温迪/旅行者风
生之花,生命值（数值）,暴击伤害/元素充能效率/生命值,班尼特
生之花,生命值（数值）,暴击伤害/元素充能效率/元素精通,砂糖/枫原万叶
生之花,生命值（数值）,攻击力/元素充能效率,七七
生之花,生命值（数值）,元素充能效率/生命值,珊瑚宫心海/芭芭拉/迪奥娜
死之羽,攻击力（数值）,暴击率/元素充能效率/元素精通,旅行者雷
死之羽,攻击力（数值）,暴击伤害/暴击率/防御力,辛焱/诺艾尔/阿贝多
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,凝光/旅行者岩/行秋/达达利亚/丽莎/雷泽/刻晴/北斗/甘雨/罗莎莉亚/优菈/重云/琴/魈/埃洛伊
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率/攻击力,九条裟罗/雷电将军
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率/元素精通/攻击力,早柚
死之羽,攻击力（数值）,暴击伤害/暴击率/生命值,钟离/胡桃
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,莫娜/香菱/迪卢克/安柏/神里绫华/凯亚
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,菲谢尔/烟绯/宵宫/可莉/温迪/旅行者风
死之羽,攻击力（数值）,暴击伤害/元素充能效率/生命值,班尼特
死之羽,攻击力（数值）,暴击伤害/元素充能效率/元素精通,砂糖/枫原万叶
死之羽,攻击力（数值）,元素充能效率/攻击力,七七
死之羽,攻击力（数值）,元素充能效率/生命值,珊瑚宫心海/芭芭拉/迪奥娜
时之沙,元素充能效率,暴击率/元素精通,旅行者雷
时之沙,元素充能效率,暴击伤害/暴击率/防御力,诺艾尔
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,雷电将军
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,九条裟罗
时之沙,元素充能效率,暴击伤害/暴击率/攻击力/元素精通,早柚
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,行秋/丽莎/北斗/罗莎莉亚
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,莫娜/香菱/安柏/神里绫华/凯亚
时之沙,元素充能效率,暴击伤害/元素精通,砂糖
时之沙,防御力,暴击伤害/暴击率,阿贝多/诺艾尔/辛焱
时之沙,攻击力,暴击伤害/暴击率,埃洛伊
时之沙,攻击力,暴击伤害/暴击率/防御力,辛焱
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,九条裟罗
时之沙,攻击力,暴击伤害/暴击率/元素充能效率/元素精通,早柚
时之沙,攻击力,暴击伤害/暴击率,凝光/旅行者岩/达达利亚/雷泽/刻晴/魈/琴/重云/甘雨/优菈/行秋/丽莎/北斗/罗莎莉亚
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,迪卢克/莫娜/香菱/安柏/神里绫华/凯亚
时之沙,攻击力,暴击伤害/暴击率/元素精通,菲谢尔/烟绯/可莉/温迪/宵宫/旅行者风
时之沙,攻击力,暴击伤害/元素充能效率/生命值,班尼特
时之沙,攻击力,暴击伤害/元素充能效率/元素精通,枫原万叶
时之沙,攻击力,元素充能效率,七七
时之沙,元素精通,暴击伤害/暴击率/元素充能效率,迪卢克
时之沙,元素精通,暴击伤害/暴击率,宵宫/旅行者风/菲谢尔/烟绯/可莉/温迪
时之沙,元素精通,暴击伤害/暴击率/攻击力/元素充能效率,早柚
时之沙,元素精通,暴击伤害/暴击率/生命值,胡桃
时之沙,元素精通,暴击伤害/元素充能效率,砂糖/枫原万叶
时之沙,生命值,暴击伤害/暴击率,钟离
时之沙,生命值,暴击伤害/元素充能效率,班尼特
时之沙,生命值,暴击伤害/暴击率,胡桃
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,重云/甘雨/罗莎莉亚
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,埃洛伊
空之杯,冰元素伤害加成,暴击伤害/暴击率/元素充能效率,神里绫华/凯亚
空之杯,风元素伤害加成,暴击伤害/暴击率/攻击力,魈/琴
空之杯,风元素伤害加成,暴击伤害/暴击率/攻击力/元素充能效率/元素精通,早柚
空之杯,风元素伤害加成,暴击伤害/暴击率/元素精通,温迪/旅行者风
空之杯,风元素伤害加成,暴击伤害/元素充能效率/元素精通,砂糖/枫原万叶
空之杯,雷元素伤害加成,暴击伤害/暴击率/攻击力/元素充能效率,雷电将军/九条裟罗
空之杯,雷元素伤害加成,暴击伤害/暴击率/元素精通,菲谢尔
