佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,罗莎莉亚/重云/北斗/丽莎/达达利亚/行秋/旅行者岩
生之花,生命值（数值）,元素精通/元素充能效率/暴击伤害,砂糖
生之花,生命值（数值）,元素充能效率/元素精通/暴击率,旅行者雷
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,温迪
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,安柏/香菱/莫娜
生之花,生命值（数值）,元素充能效率/暴击伤害/生命值,班尼特
生之花,生命值（数值）,暴击伤害/暴击率/防御力,辛焱
生之花,生命值（数值）,暴击率/暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
生之花,生命值（数值）,暴击率/暴击伤害/生命值,钟离
生之花,生命值（数值）,元素充能效率/暴击率/生命值,托马
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,罗莎莉亚/重云/北斗/丽莎/达达利亚/行秋/旅行者岩
死之羽,攻击力（数值）,元素精通/元素充能效率/暴击伤害,砂糖
死之羽,攻击力（数值）,元素充能效率/元素精通/暴击率,旅行者雷
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,温迪
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,安柏/香菱/莫娜
死之羽,攻击力（数值）,生命值/元素充能效率/暴击伤害,班尼特
死之羽,攻击力（数值）,暴击伤害/暴击率/防御力,辛焱
死之羽,攻击力（数值）,暴击率/暴击伤害/元素充能效率,雷电将军/九条裟罗
死之羽,攻击力（数值）,生命值/暴击率/暴击伤害,钟离
死之羽,攻击力（数值）,元素充能效率/生命值/暴击率,托马
时之沙,攻击力,暴击伤害/暴击率,罗莎莉亚/重云/北斗/丽莎/达达利亚/行秋/旅行者岩
时之沙,攻击力,暴击伤害/暴击率/元素精通,温迪
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,安柏/香菱/莫娜
时之沙,攻击力,生命值/元素充能效率/暴击伤害,班尼特
时之沙,攻击力,暴击伤害/暴击率/防御力,辛焱
时之沙,攻击力,暴击率/暴击伤害/元素充能效率,九条裟罗
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,罗莎莉亚/北斗/丽莎/行秋
时之沙,元素充能效率,元素精通/暴击伤害/攻击力,砂糖
时之沙,元素充能效率,元素精通/暴击率/攻击力,旅行者雷
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,安柏/香菱/莫娜/雷电将军/九条裟罗
时之沙,元素充能效率,生命值/暴击率,托马
时之沙,元素精通,元素充能效率/暴击伤害/攻击力,砂糖
时之沙,元素精通,暴击伤害/暴击率/攻击力,温迪
时之沙,生命值,元素充能效率/暴击伤害,班尼特
时之沙,生命值,暴击率/暴击伤害,钟离
时之沙,防御力,暴击伤害/暴击率,辛焱
空之杯,物理伤害加成,暴击伤害/暴击率/攻击力,罗莎莉亚
空之杯,物理伤害加成,暴击伤害/暴击率/防御力,辛焱
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,罗莎莉亚/重云
空之杯,风元素伤害加成,元素精通/元素充能效率/暴击伤害,砂糖
空之杯,风元素伤害加成,暴击伤害/暴击率/元素精通,温迪
空之杯,火元素伤害加成,暴击伤害/暴击率/元素充能效率,安柏/香菱
空之杯,火元素伤害加成,生命值/元素充能效率/暴击伤害,班尼特
空之杯,雷元素伤害加成,暴击伤害/暴击率/攻击力,北斗/丽莎
空之杯,雷元素伤害加成,元素充能效率/元素精通/暴击率,旅行者雷
空之杯,雷元素伤害加成,暴击率/暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
空之杯,水元素伤害加成,暴击伤害/暴击率/攻击力,达达利亚/行秋
空之杯,水元素伤害加成,暴击伤害/暴击率/元素充能效率,莫娜
空之杯,岩元素伤害加成,暴击伤害/暴击率/攻击力,旅行者岩
空之杯,岩元素伤害加成,生命值/暴击率/暴击伤害,钟离
空之杯,攻击力,暴击率/暴击伤害/元素充能效率,雷电将军/九条裟罗
空之杯,元素精通,元素充能效率/暴击伤害,砂糖
空之杯,元素精通,暴击伤害/暴击率,温迪
空之杯,生命值,元素充能效率/暴击伤害,班尼特
空之杯,生命值,暴击率/暴击伤害,钟离
空之杯,生命值,元素充能效率/暴击率,托马
理之冠,暴击伤害,暴击率/攻击力,罗莎莉亚/重云/北斗/丽莎/达达利亚/行秋/旅行者岩
理之冠,暴击伤害,元素精通/元素充能效率,砂糖
理之冠,暴击伤害,暴击率/元素精通,温迪
理之冠,暴击伤害,暴击率/元素充能效率,安柏/香菱/莫娜
理之冠,暴击伤害,生命值/元素充能效率,班尼特
理之冠,暴击伤害,暴击率/防御力,辛焱
理之冠,暴击伤害,暴击率/攻击力/元素充能效率,雷电将军/九条裟罗
理之冠,暴击伤害,生命值/暴击率,钟离
理之冠,暴击率,暴击伤害/攻击力,罗莎莉亚/重云/北斗/丽莎/达达利亚/行秋/旅行者岩
理之冠,暴击率,元素充能效率/元素精通,旅行者雷
理之冠,暴击率,暴击伤害/元素充能效率,安柏/香菱/莫娜
理之冠,暴击率,暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
理之冠,元素精通,元素充能效率/暴击伤害,砂糖
理之冠,元素精通,暴击伤害/暴击率,温迪
理之冠,元素精通,元素充能效率/暴击率,旅行者雷
理之冠,治疗加成,生命值/元素充能效率/暴击伤害,班尼特
理之冠,生命值,暴击率/暴击伤害,钟离
理之冠,生命值,元素充能效率/暴击率,托马
