佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,达达利亚/行秋
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,莫娜
生之花,生命值（数值）,生命值/元素充能效率,珊瑚宫心海
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,达达利亚/行秋
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,莫娜
死之羽,攻击力（数值）,生命值/元素充能效率,珊瑚宫心海
时之沙,攻击力,暴击伤害/暴击率/攻击力,达达利亚/行秋
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,莫娜
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,行秋
时之沙,元素充能效率,暴击伤害/暴击率/元素充能效率,莫娜
时之沙,生命值,元素充能效率,珊瑚宫心海
空之杯,水元素伤害加成,暴击伤害/暴击率/攻击力,达达利亚/行秋
空之杯,水元素伤害加成,暴击伤害/暴击率/元素充能效率,莫娜
空之杯,水元素伤害加成,生命值/元素充能效率,珊瑚宫心海
空之杯,生命值,元素充能效率,珊瑚宫心海
理之冠,暴击伤害,暴击率/攻击力,达达利亚/行秋
理之冠,暴击伤害,暴击率/元素充能效率,莫娜
理之冠,暴击率,暴击伤害/攻击力,达达利亚/行秋
理之冠,暴击率,暴击伤害/元素充能效率,莫娜
理之冠,治疗加成,生命值/元素充能效率,珊瑚宫心海
理之冠,生命值,元素充能效率,珊瑚宫心海
