佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,攻击力/暴击伤害/暴击率/元素充能效率,班尼特
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,迪卢克/香菱
生之花,生命值（数值）,暴击伤害/暴击率/生命值,胡桃
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,可莉/宵宫/烟绯
死之羽,攻击力（数值）,攻击力/暴击伤害/暴击率/元素充能效率,班尼特
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,迪卢克/香菱
死之羽,攻击力（数值）,暴击伤害/暴击率/生命值,胡桃
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,可莉/宵宫/烟绯
时之沙,生命值,暴击伤害/暴击率,胡桃
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,班尼特
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,迪卢克/香菱
时之沙,攻击力,暴击伤害/暴击率/元素精通,可莉/宵宫/烟绯
时之沙,元素充能效率,暴击伤害/暴击率,香菱
时之沙,元素精通,暴击伤害/暴击率/元素充能效率,迪卢克
时之沙,元素精通,暴击伤害/暴击率/生命值,胡桃
时之沙,元素精通,暴击伤害/暴击率,可莉/宵宫/烟绯
空之杯,火元素伤害加成,攻击力/暴击伤害/暴击率/元素充能效率,班尼特
空之杯,火元素伤害加成,暴击伤害/暴击率/元素充能效率,迪卢克/香菱
空之杯,火元素伤害加成,暴击伤害/暴击率/生命值,胡桃
空之杯,火元素伤害加成,暴击伤害/暴击率/元素精通,可莉/宵宫/烟绯
空之杯,元素精通,暴击伤害/暴击率,宵宫
理之冠,暴击伤害,攻击力/暴击率/元素充能效率,班尼特
理之冠,暴击伤害,暴击率/元素充能效率,迪卢克/香菱
理之冠,暴击伤害,暴击率/生命值,胡桃
理之冠,暴击伤害,暴击率/元素精通,可莉/宵宫/烟绯
理之冠,暴击伤害,攻击力/暴击伤害/元素充能效率,班尼特
理之冠,暴击率,暴击伤害/元素充能效率,迪卢克/香菱
理之冠,暴击率,暴击伤害/生命值,胡桃
理之冠,暴击率,暴击伤害/元素精通,可莉/宵宫/烟绯
