佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华/香菱/莫娜
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,重云/行秋
生之花,生命值（数值）,暴击率/暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
生之花,生命值（数值）,元素充能效率/元素精通/暴击率,旅行者雷
生之花,生命值（数值）,元素充能效率/生命值/暴击率,托马
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华/香菱/莫娜
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,重云/行秋
死之羽,攻击力（数值）,暴击率/暴击伤害/元素充能效率,雷电将军/九条裟罗
死之羽,攻击力（数值）,元素充能效率/元素精通/暴击率,旅行者雷
死之羽,攻击力（数值）,元素充能效率/生命值/暴击率,托马
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华/香菱/莫娜
时之沙,攻击力,暴击伤害/暴击率,重云/行秋
时之沙,攻击力,暴击率/暴击伤害/元素充能效率,九条裟罗
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,凯亚/神里绫华/香菱/莫娜
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,行秋
时之沙,元素充能效率,暴击率/暴击伤害/攻击力,雷电将军/九条裟罗
时之沙,元素充能效率,元素精通/暴击率/暴击伤害,旅行者雷
时之沙,元素充能效率,生命值/暴击率,托马
空之杯,冰元素伤害加成,暴击伤害/暴击率/元素充能效率,凯亚/神里绫华
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力/攻击力,重云
空之杯,水元素伤害加成,暴击伤害/暴击率/元素充能效率,莫娜
空之杯,水元素伤害加成,暴击伤害/暴击率/攻击力/攻击力,行秋
空之杯,雷元素伤害加成,暴击率/暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
空之杯,雷元素伤害加成,元素充能效率/元素精通/暴击率,旅行者雷
空之杯,元素精通,元素充能效率/暴击率/暴击伤害,旅行者雷
空之杯,攻击力,暴击率/暴击伤害/元素充能效率,雷电将军/九条裟罗
空之杯,生命值,元素充能效率/暴击率,托马
理之冠,暴击伤害,暴击率/元素充能效率,凯亚/神里绫华/香菱/莫娜
理之冠,暴击伤害,暴击率/攻击力,重云/行秋
理之冠,暴击伤害,暴击率/攻击力/元素充能效率,雷电将军/九条裟罗
理之冠,暴击率,暴击伤害/元素充能效率,凯亚/神里绫华/香菱/莫娜
理之冠,暴击率,暴击伤害/攻击力,重云/行秋
理之冠,暴击率,暴击伤害/攻击力/元素充能效率,雷电将军/九条裟罗
理之冠,暴击率,元素充能效率/元素精通,旅行者雷
理之冠,生命值,元素充能效率/暴击率,托马
理之冠,元素精通,元素充能效率/暴击率,旅行者雷
