佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,元素精通/元素充能效率/暴击伤害,枫原万叶/砂糖/早柚
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,旅行者风/早柚
生之花,生命值（数值）,暴击率/攻击力/暴击伤害,琴/魈
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,温迪/早柚
生之花,生命值（数值）,暴击率/暴击伤害/攻击力/元素精通/元素充能效率,早柚
死之羽,攻击力（数值）,元素精通/元素充能效率/暴击伤害,枫原万叶/砂糖/早柚
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,旅行者风/温迪/早柚
死之羽,攻击力（数值）,暴击率/攻击力/暴击伤害,琴/魈
死之羽,攻击力（数值）,暴击率/暴击伤害/元素精通/元素充能效率,早柚
时之沙,攻击力,元素精通/元素充能效率/暴击伤害,枫原万叶/早柚
时之沙,攻击力,暴击伤害/暴击率/元素精通,旅行者风/温迪/早柚
时之沙,攻击力,暴击率/攻击力/暴击伤害,琴/魈
时之沙,攻击力,暴击率/暴击伤害/元素精通/元素充能效率,早柚
时之沙,元素充能效率,暴击伤害/暴击率/元素精通,温迪/早柚
时之沙,元素充能效率,暴击率/暴击伤害/攻击力/元素精通,早柚
时之沙,元素精通,元素精通/元素充能效率/暴击伤害,枫原万叶/砂糖/早柚
时之沙,元素精通,暴击伤害/暴击率/元素精通,旅行者风/温迪/早柚
时之沙,元素精通,暴击率/暴击伤害/攻击力/元素充能效率,早柚
空之杯,元素精通,元素精通/元素充能效率/暴击伤害,枫原万叶/早柚/砂糖
空之杯,元素精通,暴击伤害/暴击率/元素精通,旅行者风/温迪/早柚
空之杯,元素精通,暴击率/暴击伤害/攻击力/元素充能效率,早柚
空之杯,风元素伤害加成,元素精通/元素充能效率/暴击伤害,枫原万叶/早柚/砂糖
空之杯,风元素伤害加成,暴击伤害/暴击率/元素精通,旅行者风/温迪/早柚
空之杯,风元素伤害加成,暴击率/攻击力/暴击伤害,琴/魈
空之杯,风元素伤害加成,暴击率/暴击伤害/攻击力/元素精通/元素充能效率,早柚
空之杯,攻击力,暴击率/攻击力/暴击伤害,琴/魈
空之杯,攻击力,暴击率/暴击伤害/元素精通/元素充能效率,早柚
理之冠,暴击伤害,元素精通/元素充能效率,枫原万叶/砂糖/早柚
理之冠,暴击伤害,暴击率/元素精通,旅行者风/温迪
理之冠,暴击伤害,暴击率/攻击力,琴/魈
理之冠,暴击伤害,暴击率/攻击力/元素精通/元素充能效率,早柚
理之冠,暴击率,攻击力/暴击伤害,魈
理之冠,暴击率,暴击伤害/攻击力/元素精通/元素充能效率,早柚
理之冠,元素精通,元素充能效率/暴击伤害,枫原万叶/砂糖/早柚
理之冠,元素精通,暴击伤害/暴击率,旅行者风/早柚
理之冠,元素精通,暴击伤害/暴击率,温迪/早柚
理之冠,元素精通,暴击率/暴击伤害/攻击力/元素充能效率,早柚
