佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,暴击伤害/暴击率/元素充能效率,凯亚
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,罗莎莉亚/琴/魈/刻晴/雷泽/凝光
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,旅行者风
生之花,生命值（数值）,暴击伤害/暴击率/防御力,诺艾尔
死之羽,攻击力（数值）,暴击伤害/暴击率/元素充能效率,凯亚
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,罗莎莉亚/琴/魈/刻晴/雷泽/凝光
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,旅行者风
死之羽,攻击力（数值）,暴击伤害/暴击率/防御力,诺艾尔
时之沙,攻击力,暴击伤害/暴击率/元素充能效率,凯亚
时之沙,攻击力,暴击伤害/暴击率,罗莎莉亚/琴/魈/刻晴/雷泽/凝光
时之沙,攻击力,暴击伤害/暴击率/元素精通,旅行者风
时之沙,元素充能效率,暴击伤害/暴击率,凯亚
时之沙,元素充能效率,暴击伤害/暴击率/攻击力,罗莎莉亚
时之沙,防御力,暴击伤害/暴击率,诺艾尔
空之杯,冰元素伤害加成,暴击伤害/暴击率/元素充能效率,凯亚
空之杯,冰元素伤害加成,暴击伤害/暴击率/攻击力,罗莎莉亚
空之杯,风元素伤害加成,暴击伤害/暴击率/元素精通,旅行者风
空之杯,风元素伤害加成,暴击伤害/暴击率/攻击力,琴
空之杯,雷元素伤害加成,暴击伤害/暴击率/攻击力,刻晴
空之杯,物理伤害加成,暴击伤害/暴击率/攻击力,雷泽
空之杯,岩元素伤害加成,暴击伤害/暴击率/攻击力,凝光
空之杯,岩元素伤害加成,暴击伤害/暴击率/防御力,诺艾尔
空之杯,元素精通,暴击伤害/暴击率/攻击力,旅行者风
空之杯,攻击力,暴击伤害/暴击率,琴/魈
理之冠,暴击伤害,暴击率/元素充能效率/攻击力,凯亚
理之冠,暴击伤害,暴击率/攻击力,罗莎莉亚/琴/魈/刻晴/雷泽/凝光
理之冠,暴击伤害,暴击率/元素精通/攻击力,旅行者风
理之冠,暴击伤害,暴击率/防御力/防御,诺艾尔
理之冠,暴击率,暴击伤害/元素充能效率,凯亚
理之冠,暴击率,暴击伤害/攻击力,罗莎莉亚/琴/魈/刻晴/雷泽/凝光
理之冠,暴击率,暴击伤害/元素精通/攻击力,旅行者风
理之冠,暴击率,暴击伤害/防御力/防御,诺艾尔
理之冠,元素精通,暴击伤害/暴击率/攻击力,旅行者风
