佩戴部位,主属性,副属性,角色
生之花,生命值（数值）,元素精通/元素充能效率/暴击伤害,枫原万叶
生之花,生命值（数值）,暴击伤害/暴击率/攻击力,魈/刻晴/旅行者岩
生之花,生命值（数值）,暴击伤害/暴击率/元素精通,宵宫
生之花,生命值（数值）,暴击率/暴击伤害/攻击力,埃洛伊
生之花,生命值（数值）,暴击伤害/暴击率/生命值,胡桃
死之羽,攻击力（数值）,元素精通/元素充能效率/暴击伤害,枫原万叶
死之羽,攻击力（数值）,暴击伤害/暴击率/攻击力,魈/刻晴/埃洛伊/旅行者岩
死之羽,攻击力（数值）,暴击伤害/暴击率/元素精通,宵宫
死之羽,攻击力（数值）,暴击伤害/暴击率/生命值,胡桃
时之沙,元素精通,元素精通/元素充能效率/暴击伤害,枫原万叶
时之沙,元素精通,暴击伤害/暴击率,宵宫
时之沙,元素精通,暴击伤害/暴击率/生命值,胡桃
时之沙,攻击力,元素精通/元素充能效率/暴击伤害,枫原万叶
时之沙,攻击力,暴击伤害/暴击率,魈/刻晴/埃洛伊/旅行者岩
时之沙,攻击力,暴击伤害/暴击率/元素精通,宵宫
时之沙,生命值,暴击伤害/暴击率,胡桃
空之杯,元素精通,元素精通/元素充能效率/暴击伤害,枫原万叶
空之杯,元素精通,暴击伤害/暴击率/攻击力,宵宫
空之杯,风元素伤害加成,元素精通/元素充能效率/暴击伤害,枫原万叶
空之杯,风元素伤害加成,暴击伤害/暴击率/攻击力,魈
空之杯,雷元素伤害加成,暴击伤害/暴击率/攻击力,刻晴
空之杯,岩元素伤害加成,暴击伤害/暴击率/攻击力,旅行者岩
空之杯,攻击力,暴击伤害/暴击率,魈/埃洛伊
空之杯,冰元素伤害加成,暴击率/暴击伤害/攻击力/攻击力,埃洛伊
空之杯,火元素伤害加成,暴击伤害/暴击率/生命值,胡桃
理之冠,元素精通,元素充能效率/暴击伤害,枫原万叶
理之冠,暴击伤害,元素精通/元素充能效率,枫原万叶
理之冠,暴击伤害,暴击率/攻击力,魈/刻晴/旅行者岩
理之冠,暴击伤害,暴击率/元素精通,宵宫
理之冠,暴击伤害,暴击率/攻击力/攻击力,埃洛伊
理之冠,暴击伤害,暴击率/生命值,胡桃
理之冠,暴击率,暴击伤害/攻击力,魈/刻晴/旅行者岩
理之冠,暴击率,暴击伤害/元素精通,宵宫
理之冠,暴击率,暴击伤害/攻击力/攻击力,埃洛伊
理之冠,暴击率,暴击伤害/生命值,胡桃
